bowler_type,strike_rate,strike_rate_std,wickets,deliveries_per_wicket,deliveries,batter,index
Right arm Legbreak,97.761,1.411373872926542,11,12.182,134,R Powell,
Right arm Offbreak,211.364,2.451538758269609,2,22.0,44,R Powell,
Left arm Fast,122.5,1.510433797427168,1,40.0,40,CR Brathwaite,
Left arm Orthodox,33.333,0.5222329678670935,2,22.5,45,CR Brathwaite,
Left arm Wrist spin,84.615,1.7246329970051526,1,13.0,13,CR Brathwaite,
Right arm Fast,133.333,1.8472762052630551,4,15.0,60,CR Brathwaite,
Right arm Legbreak,110.345,2.0414425499457645,4,7.25,29,CR Brathwaite,
Left arm Fast,114.286,1.5583874449479593,1,21.0,21,SP Narine,
Left arm Orthodox,125.0,1.98206241793023,1,8.0,8,SP Narine,
Right arm Fast,107.407,1.6390880655442788,3,9.0,27,SP Narine,
Right arm Legbreak,28.571,0.4879500364742666,2,3.5,7,SP Narine,
Right arm Offbreak,0.0,0.0,1,10.0,10,SP Narine,
Left arm Fast,200.0,2.0,0,inf,3,AR Nurse,
Right arm Fast,130.303,1.6295100583620312,1,33.0,33,AR Nurse,
Right arm Legbreak,120.0,1.6431676725154984,0,inf,5,AR Nurse,
Left arm Fast,63.158,1.1160708020048367,2,9.5,19,JE Taylor,
Left arm Orthodox,140.0,2.4585451886114367,0,inf,10,JE Taylor,
Right arm Fast,154.762,1.7696958668346814,2,21.0,42,JE Taylor,
Right arm Legbreak,100.0,1.4142135623730951,0,inf,2,JE Taylor,
Right arm Offbreak,100.0,1.5491933384829666,2,3.0,6,JE Taylor,
Left arm Fast,100.0,,0,inf,1,KOK Williams,
Left arm Orthodox,50.0,1.0,1,4.0,4,KOK Williams,
Right arm Fast,75.0,0.5,1,4.0,4,KOK Williams,
Right arm Offbreak,0.0,,1,1.0,1,KOK Williams,
Left arm Fast,87.5,0.9657599638069015,2,20.0,40,BA Stokes,
Left arm Orthodox,113.333,1.7265434778633233,0,inf,15,BA Stokes,
Left arm Wrist spin,100.0,1.1547005383792517,1,19.0,19,BA Stokes,
Right arm Fast,125.654,1.5155845135610007,11,17.364,191,BA Stokes,
Right arm Legbreak,100.0,1.4491376746189437,3,13.667,41,BA Stokes,
Right arm Offbreak,138.889,1.686983091108365,3,18.0,54,BA Stokes,
Left arm Fast,133.762,1.585773281631532,12,25.917,311,V Kohli,
Left arm Orthodox,119.417,1.4214952788692272,3,68.667,206,V Kohli,
Left arm Wrist spin,129.268,1.2498780428310674,2,20.5,41,V Kohli,
Right arm Fast,146.373,1.6198788552124022,28,41.357,1158,V Kohli,
Right arm Legbreak,123.853,1.364981061704669,7,46.714,327,V Kohli,
Right arm Offbreak,120.385,1.419930056799055,3,86.667,260,V Kohli,
Left arm Fast,99.375,1.5233894475166332,4,40.0,160,KL Rahul,
Left arm Orthodox,134.118,1.7563011807588733,5,17.0,85,KL Rahul,
Left arm Wrist spin,157.143,1.6903085094570331,1,21.0,21,KL Rahul,
Right arm Fast,146.96,1.8235211714850814,18,26.5,477,KL Rahul,
Right arm Legbreak,95.536,1.210973793670833,6,18.667,112,KL Rahul,
Right arm Offbreak,174.194,1.858606454393766,3,31.0,93,KL Rahul,
Left arm Fast,98.413,1.5501515377751185,4,15.75,63,SK Raina,
Left arm Orthodox,137.5,1.4621287606844044,1,40.0,40,SK Raina,
Left arm Wrist spin,82.353,1.0145993123917847,1,17.0,17,SK Raina,
Right arm Fast,139.056,1.6943412809129212,21,22.19,466,SK Raina,
Right arm Legbreak,133.333,2.0,2,13.5,27,SK Raina,
Right arm Offbreak,115.179,1.336998261055096,4,28.0,112,SK Raina,
Left arm Fast,99.057,1.659003045543104,5,21.2,106,Yuvraj Singh,
Left arm Orthodox,168.182,2.1849773166158664,1,66.0,66,Yuvraj Singh,
Left arm Wrist spin,100.0,1.7320508075688774,0,inf,5,Yuvraj Singh,
Right arm Fast,144.631,1.895982763206143,18,16.556,298,Yuvraj Singh,
Right arm Legbreak,146.939,1.8608022554838022,1,49.0,49,Yuvraj Singh,
Right arm Offbreak,103.704,1.4163617855524218,5,27.0,135,Yuvraj Singh,
Left arm Fast,125.62,1.4464262028636576,2,60.5,121,MS Dhoni,
Left arm Orthodox,71.622,1.1764850163542395,2,37.0,74,MS Dhoni,
Left arm Wrist spin,105.0,1.7089507952287042,0,inf,40,MS Dhoni,
Right arm Fast,124.053,1.4470198299561325,17,35.706,607,MS Dhoni,
Right arm Legbreak,105.797,1.454041608465,3,23.0,69,MS Dhoni,
Right arm Offbreak,93.182,1.239164109672365,2,44.0,88,MS Dhoni,
Left arm Fast,125.0,1.2909944487358056,2,8.0,16,MK Pandey,
Left arm Orthodox,75.862,0.8304547985373997,1,29.0,29,MK Pandey,
Left arm Wrist spin,150.0,1.9321835661585918,0,inf,16,MK Pandey,
Right arm Fast,124.457,1.3750202486683751,3,61.333,184,MK Pandey,
Right arm Legbreak,113.953,1.3377556782561357,1,43.0,43,MK Pandey,
Right arm Offbreak,86.667,0.7760791522613609,1,30.0,30,MK Pandey,
Left arm Fast,151.316,1.7242847487398483,5,15.2,76,HH Pandya,
Left arm Orthodox,88.889,1.43808913438039,3,21.0,63,HH Pandya,
Left arm Wrist spin,110.0,1.1972189997378648,0,inf,10,HH Pandya,
Right arm Fast,136.43,1.706905543757035,23,17.783,409,HH Pandya,
Right arm Legbreak,96.907,1.149760919418166,4,24.25,97,HH Pandya,
Right arm Offbreak,147.222,1.6645224301988006,1,36.0,36,HH Pandya,
Left arm Fast,100.0,0.0,0,inf,4,Parvez Rasool,
Right arm Fast,50.0,0.7071067811865476,0,inf,2,Parvez Rasool,
Left arm Fast,119.565,1.598344819931487,5,18.4,92,MM Ali,
Left arm Orthodox,142.593,1.849036994148646,3,18.0,54,MM Ali,
Left arm Wrist spin,137.5,1.922609833384967,0,inf,8,MM Ali,
Right arm Fast,145.517,1.8619456666810534,17,17.059,290,MM Ali,
Right arm Legbreak,183.951,2.106281024243066,6,13.5,81,MM Ali,
Right arm Offbreak,97.872,1.206672782671563,5,9.4,47,MM Ali,
Right arm Fast,12.5,0.3535533905932738,2,4.0,8,TS Mills,
Right arm Legbreak,175.0,2.8722813232690143,0,inf,4,TS Mills,
Left arm Fast,107.407,1.4033689623347256,5,16.2,81,RR Pant,
Left arm Orthodox,130.233,1.7117922064723665,7,6.143,43,RR Pant,
Left arm Wrist spin,47.619,0.511766315719159,1,21.0,21,RR Pant,
Right arm Fast,122.761,1.6388491344689962,15,17.867,268,RR Pant,
Right arm Legbreak,125.352,1.6363575391630814,1,71.0,71,RR Pant,
Right arm Offbreak,115.714,1.500103516096876,1,70.0,70,RR Pant,
Left arm Fast,116.917,1.7105523967587282,16,16.625,266,RG Sharma,
Left arm Orthodox,118.593,1.6019568258206307,9,22.111,199,RG Sharma,
Right arm Fast,148.239,1.8427885691625967,38,26.895,1022,RG Sharma,
Right arm Legbreak,115.455,1.556757921526321,7,31.429,220,RG Sharma,
Right arm Offbreak,131.746,1.7025518721631594,9,21.0,189,RG Sharma,
Left arm Fast,112.308,1.536103962827837,3,21.667,65,AM Rahane,
Left arm Orthodox,114.286,0.9102589898327995,0,inf,21,AM Rahane,
Right arm Fast,94.175,1.2972462743982462,7,14.714,103,AM Rahane,
Right arm Legbreak,95.238,0.9093653898798139,2,21.0,42,AM Rahane,
Right arm Offbreak,120.69,1.6557111192308964,2,14.5,29,AM Rahane,
Left arm Fast,152.941,1.973564790725979,3,28.333,85,J Charles,
Left arm Orthodox,104.651,1.6007864004492296,5,17.2,86,J Charles,
Left arm Wrist spin,205.882,2.680265570687309,3,5.667,17,J Charles,
Right arm Fast,112.766,1.7042256465881633,16,20.562,329,J Charles,
Right arm Legbreak,105.405,1.373275604489458,3,12.333,37,J Charles,
Right arm Offbreak,188.525,2.2590437553364455,2,30.5,61,J Charles,
Left arm Fast,169.565,2.137235348776868,6,11.5,69,AD Russell,
Left arm Orthodox,188.235,2.471900911777626,3,5.667,17,AD Russell,
Left arm Wrist spin,140.0,1.9574419397183715,1,20.0,20,AD Russell,
Right arm Fast,159.887,2.0092396996174315,11,16.091,177,AD Russell,
Right arm Legbreak,146.0,2.1112913158558118,2,25.0,50,AD Russell,
Right arm Offbreak,55.556,0.5270462766947299,2,4.5,9,AD Russell,
Left arm Fast,115.534,1.7587723077359347,3,34.333,103,DJ Bravo,
Left arm Orthodox,105.882,1.4917519994678243,6,19.833,119,DJ Bravo,
Left arm Wrist spin,105.556,1.5519332240873458,0,inf,18,DJ Bravo,
Right arm Fast,126.97,1.6401098726047938,19,17.368,330,DJ Bravo,
Right arm Legbreak,100.0,1.541103500742244,4,20.25,81,DJ Bravo,
Right arm Offbreak,113.483,1.3587216593935636,5,35.6,178,DJ Bravo,
Left arm Fast,120.423,1.8200566291336713,3,47.333,142,LMP Simmons,
Left arm Orthodox,123.881,1.650605286461125,6,22.333,134,LMP Simmons,
Left arm Wrist spin,73.333,0.5936168397046636,0,inf,15,LMP Simmons,
Right arm Fast,122.955,1.656340250608228,16,23.688,379,LMP Simmons,
Right arm Legbreak,98.734,1.4455384134540243,5,15.8,79,LMP Simmons,
Right arm Offbreak,112.903,1.5901877591474134,4,38.75,155,LMP Simmons,
Left arm Fast,130.769,1.8375304674000594,1,39.0,39,Sharjeel Khan,
Left arm Orthodox,128.0,1.7204650534085255,1,25.0,25,Sharjeel Khan,
Right arm Fast,133.071,1.77752779144767,5,25.4,127,Sharjeel Khan,
Right arm Legbreak,200.0,2.395648228514071,4,6.0,24,Sharjeel Khan,
Right arm Offbreak,79.167,1.1100763503228503,2,24.0,48,Sharjeel Khan,
Left arm Fast,100.0,2.0701966780270626,2,4.0,8,Khalid Latif,
Left arm Orthodox,200.0,2.449489742783178,1,6.0,6,Khalid Latif,
Right arm Fast,104.959,1.395535976303379,4,30.25,121,Khalid Latif,
Right arm Legbreak,73.171,1.02528996493437,0,inf,41,Khalid Latif,
Right arm Offbreak,132.5,1.8451252476423325,0,inf,40,Khalid Latif,
Left arm Fast,141.026,1.6605846796022516,8,34.125,273,Babar Azam,
Left arm Orthodox,105.319,1.1869794611578601,2,94.0,188,Babar Azam,
Left arm Wrist spin,131.081,1.3741814567392143,1,74.0,74,Babar Azam,
Right arm Fast,134.013,1.5065838982547597,27,34.519,932,Babar Azam,
Right arm Legbreak,120.395,1.3292287437933266,8,38.0,304,Babar Azam,
Right arm Offbreak,113.492,1.1889704763579263,2,63.0,126,Babar Azam,
Left arm Fast,105.797,1.5881316936973364,7,19.714,138,ADS Fletcher,
Left arm Orthodox,56.716,0.722451227189157,5,13.4,67,ADS Fletcher,
Left arm Wrist spin,88.889,0.6009252125773316,0,inf,9,ADS Fletcher,
Right arm Fast,108.295,1.708512067130231,10,21.7,217,ADS Fletcher,
Right arm Legbreak,93.548,1.364685162005453,3,10.333,31,ADS Fletcher,
Right arm Offbreak,70.0,1.1473127431577865,2,25.0,50,ADS Fletcher,
Left arm Fast,130.573,1.8901309830550599,6,26.167,157,N Pooran,
Left arm Orthodox,160.274,2.126158024514048,6,12.167,73,N Pooran,
Left arm Wrist spin,87.209,1.2058339718698665,5,17.2,86,N Pooran,
Right arm Fast,134.257,1.8197919873254915,21,18.905,397,N Pooran,
Right arm Legbreak,127.219,1.8052161358870122,6,28.167,169,N Pooran,
Right arm Offbreak,111.818,1.5723051398750174,6,18.333,110,N Pooran,
Left arm Fast,50.0,0.5477225575051661,0,inf,6,S Badree,
Right arm Fast,56.25,0.8007053342260588,3,10.667,32,S Badree,
Right arm Offbreak,200.0,3.4641016151377544,0,inf,3,S Badree,
Left arm Fast,115.972,1.3774568359434485,6,24.0,144,Shoaib Malik,
Left arm Orthodox,109.836,1.5125362426670594,3,40.667,122,Shoaib Malik,
Left arm Wrist spin,130.769,1.5483655567842813,0,inf,13,Shoaib Malik,
Right arm Fast,122.465,1.440296489671181,23,27.87,641,Shoaib Malik,
Right arm Legbreak,109.89,1.350349296827759,5,18.2,91,Shoaib Malik,
Right arm Offbreak,100.0,1.1762489718744142,4,36.75,147,Shoaib Malik,
Left arm Fast,136.709,1.6343838734808265,3,26.333,79,Sarfraz Ahmed,
Left arm Orthodox,117.647,1.3815541375360334,5,13.6,68,Sarfraz Ahmed,
Left arm Wrist spin,113.333,0.9154754164341269,0,inf,15,Sarfraz Ahmed,
Right arm Fast,109.524,1.3086746729366778,7,33.0,231,Sarfraz Ahmed,
Right arm Legbreak,107.843,1.6228756853795299,4,12.75,51,Sarfraz Ahmed,
Right arm Offbreak,141.176,1.402518742665998,1,51.0,51,Sarfraz Ahmed,
Left arm Fast,162.044,1.7992293565224704,1,137.0,137,Umar Akmal,
Left arm Orthodox,125.564,1.540632177103429,2,66.5,133,Umar Akmal,
Left arm Wrist spin,100.0,1.0,0,inf,3,Umar Akmal,
Right arm Fast,122.573,1.5457399912559282,25,16.48,412,Umar Akmal,
Right arm Legbreak,105.882,1.2281707378636482,5,17.0,85,Umar Akmal,
Right arm Offbreak,97.5,1.1919541589260603,7,22.857,160,Umar Akmal,
Left arm Fast,114.103,1.6629594513032402,12,19.5,234,DA Warner,
Left arm Orthodox,159.091,2.0150208366351143,8,19.25,154,DA Warner,
Left arm Wrist spin,113.043,1.1077243068997893,0,inf,46,DA Warner,
Right arm Fast,138.729,1.6788727695825647,34,24.529,834,DA Warner,
Right arm Legbreak,161.682,1.7732012401255302,4,26.75,107,DA Warner,
Right arm Offbreak,128.75,1.6882097918372678,9,26.667,240,DA Warner,
Left arm Fast,114.583,1.6220790211568588,4,24.0,96,DJM Short,
Left arm Orthodox,120.513,1.57579532433103,2,19.5,39,DJM Short,
Left arm Wrist spin,50.0,0.8366600265340756,0,inf,6,DJM Short,
Right arm Fast,141.722,1.7976192251384042,6,25.167,151,DJM Short,
Right arm Legbreak,102.532,1.187268828179517,1,79.0,79,DJM Short,
Right arm Offbreak,160.0,1.51657508881031,0,inf,5,DJM Short,
Left arm Fast,96.429,1.5981967351464599,2,14.0,28,CA Lynn,
Left arm Orthodox,100.0,1.5811388300841898,1,29.0,29,CA Lynn,
Right arm Fast,142.857,1.887832030249537,6,12.833,77,CA Lynn,
Right arm Legbreak,122.222,1.3527990831890464,0,inf,18,CA Lynn,
Right arm Offbreak,100.0,,0,inf,1,CA Lynn,
Left arm Fast,121.93,1.583983842378844,6,19.0,114,GJ Maxwell,
Left arm Orthodox,125.434,1.6438915268543266,10,17.3,173,GJ Maxwell,
Left arm Wrist spin,64.286,1.0818177620697813,0,inf,14,GJ Maxwell,
Right arm Fast,155.709,1.8187431225572375,22,26.273,578,GJ Maxwell,
Right arm Legbreak,154.198,1.843532931700463,12,21.833,262,GJ Maxwell,
Right arm Offbreak,179.279,1.9868527745114755,7,15.857,111,GJ Maxwell,
Left arm Fast,120.922,1.690096786346838,10,28.2,282,MJ Guptill,
Left arm Orthodox,125.414,1.7611697379633062,6,30.167,181,MJ Guptill,
Left arm Wrist spin,350.0,3.5355339059327378,0,inf,2,MJ Guptill,
Right arm Fast,136.128,1.773008096509672,35,24.2,847,MJ Guptill,
Right arm Legbreak,146.939,1.854746269924275,13,15.077,196,MJ Guptill,
Right arm Offbreak,104.103,1.3075352489222611,7,27.857,195,MJ Guptill,
Left arm Fast,129.851,1.599012151563003,7,19.143,134,LRPL Taylor,
Left arm Orthodox,94.22,1.1034353473592617,7,24.714,173,LRPL Taylor,
Left arm Wrist spin,166.667,2.0,0,inf,9,LRPL Taylor,
Right arm Fast,124.872,1.5986804188028214,26,22.577,587,LRPL Taylor,
Right arm Legbreak,91.603,1.0957131007067868,3,43.667,131,LRPL Taylor,
Right arm Offbreak,110.5,1.5017493986286146,7,28.571,200,LRPL Taylor,
Left arm Fast,40.0,0.5477225575051662,0,inf,5,TA Blundell,
Left arm Orthodox,100.0,1.224744871391589,0,inf,5,TA Blundell,
Right arm Fast,87.5,0.8345229603962802,0,inf,8,TA Blundell,
Right arm Legbreak,60.0,0.5477225575051662,1,5.0,5,TA Blundell,
Left arm Fast,120.69,1.6557111192308964,0,inf,29,IS Sodhi,
Left arm Orthodox,50.0,0.7071067811865476,0,inf,2,IS Sodhi,
Right arm Fast,114.865,1.7725643712439976,10,7.4,74,IS Sodhi,
Right arm Legbreak,25.0,0.4629100498862757,1,8.0,8,IS Sodhi,
Right arm Offbreak,62.5,0.7440238091428449,2,4.0,8,IS Sodhi,
Left arm Fast,137.778,1.735837352153511,4,11.25,45,MP Stoinis,
Left arm Orthodox,93.023,1.2982653048479234,1,43.0,43,MP Stoinis,
Right arm Fast,132.143,1.6567672233382185,12,21.0,252,MP Stoinis,
Right arm Legbreak,138.298,1.9013655702679861,7,13.429,94,MP Stoinis,
Right arm Offbreak,212.5,2.365750239046461,0,inf,32,MP Stoinis,
Left arm Fast,125.0,1.481773320691476,0,inf,24,AT Carey,
Left arm Orthodox,152.381,1.5039630187955957,2,10.5,21,AT Carey,
Left arm Wrist spin,116.667,1.4245742398014511,1,18.0,18,AT Carey,
Right arm Fast,87.5,1.2069872334942824,7,8.0,56,AT Carey,
Right arm Legbreak,135.714,1.9848325973644323,3,4.667,14,AT Carey,
Right arm Offbreak,46.667,0.5163977794943222,1,15.0,15,AT Carey,
Right arm Fast,55.556,0.7264831572567789,0,inf,9,MA Wood,
Left arm Fast,138.158,1.8900942146757862,3,25.333,76,JM Vince,
Left arm Orthodox,127.907,1.4028131836955142,4,10.75,43,JM Vince,
Right arm Fast,112.195,1.4291196754580375,5,24.6,123,JM Vince,
Right arm Legbreak,104.762,1.2484601432903,1,42.0,42,JM Vince,
Right arm Offbreak,144.444,1.7895849739771976,0,inf,18,JM Vince,
Left arm Fast,183.784,1.993231791080248,1,37.0,37,MS Chapman,
Left arm Orthodox,170.27,2.066463227417868,4,9.25,37,MS Chapman,
Right arm Fast,120.53,1.5462551785726357,8,18.875,151,MS Chapman,
Right arm Legbreak,149.231,1.7951590887289497,2,32.5,65,MS Chapman,
Right arm Offbreak,104.545,1.4134658945638334,4,11.0,44,MS Chapman,
Left arm Fast,173.469,1.9025269165532328,3,32.667,98,TL Seifert,
Left arm Orthodox,113.187,1.6411973353404803,2,45.5,91,TL Seifert,
Left arm Wrist spin,0.0,0.0,1,2.0,2,TL Seifert,
Right arm Fast,122.045,1.6925450580869217,18,17.389,313,TL Seifert,
Right arm Legbreak,153.788,1.731633403679154,2,66.0,132,TL Seifert,
Right arm Offbreak,141.379,1.6862132678024464,3,19.333,58,TL Seifert,
Left arm Fast,81.481,1.3311948663061215,4,6.75,27,AC Agar,
Left arm Orthodox,123.529,1.5218989685876771,1,17.0,17,AC Agar,
Right arm Fast,116.514,1.4498643708463952,5,21.8,109,AC Agar,
Right arm Legbreak,74.286,1.4213261649694948,3,11.667,35,AC Agar,
Right arm Offbreak,97.222,1.3832903034041928,1,36.0,36,AC Agar,
Left arm Fast,131.169,1.7937005284558065,4,19.25,77,Kamran Akmal,
Left arm Orthodox,128.571,1.8477785890862881,3,7.0,21,Kamran Akmal,
Left arm Wrist spin,155.556,1.509230856356236,0,inf,9,Kamran Akmal,
Right arm Fast,97.209,1.4498349215401911,12,17.917,215,Kamran Akmal,
Right arm Legbreak,125.641,1.7728648940411722,3,13.0,39,Kamran Akmal,
Right arm Offbreak,132.075,1.773453659103315,3,17.667,53,Kamran Akmal,
Left arm Fast,101.0,1.4529315541380816,11,9.091,100,Ahmed Shehzad,
Left arm Orthodox,83.673,0.9863007227241897,4,12.25,49,Ahmed Shehzad,
Left arm Wrist spin,75.0,0.5,0,inf,4,Ahmed Shehzad,
Right arm Fast,104.364,1.508463185216865,11,25.0,275,Ahmed Shehzad,
Right arm Legbreak,96.491,1.2242331751622808,3,19.0,57,Ahmed Shehzad,
Right arm Offbreak,102.899,1.2830457157133568,4,17.25,69,Ahmed Shehzad,
Left arm Fast,85.821,1.3497590153869874,6,22.333,134,Mohammad Hafeez,
Left arm Orthodox,131.343,1.7830358096411227,7,19.143,134,Mohammad Hafeez,
Left arm Wrist spin,85.714,1.0079052613579393,3,9.333,28,Mohammad Hafeez,
Right arm Fast,121.053,1.582544522098094,31,20.839,646,Mohammad Hafeez,
Right arm Legbreak,131.868,1.756759142911369,2,45.5,91,Mohammad Hafeez,
Right arm Offbreak,105.941,1.3915587100673676,3,33.667,101,Mohammad Hafeez,
Left arm Fast,150.847,1.8788558638440338,6,9.833,59,JO Holder,
Left arm Orthodox,81.25,0.9810708435174292,2,8.0,16,JO Holder,
Left arm Wrist spin,46.154,0.5188745216627708,0,inf,13,JO Holder,
Right arm Fast,150.0,1.7964611677608644,9,13.556,122,JO Holder,
Right arm Legbreak,131.343,1.6896203197659756,3,22.333,67,JO Holder,
Right arm Offbreak,142.105,2.090076805438398,2,9.5,19,JO Holder,
Left arm Fast,109.836,1.5133287595318574,3,20.333,61,Fakhar Zaman,
Left arm Orthodox,203.175,2.0788353902175842,3,21.0,63,Fakhar Zaman,
Left arm Wrist spin,150.0,2.0225995873897262,1,12.0,12,Fakhar Zaman,
Right arm Fast,133.506,1.7288729344219098,26,14.808,385,Fakhar Zaman,
Right arm Legbreak,148.649,1.9177844183216604,3,24.667,74,Fakhar Zaman,
Right arm Offbreak,113.75,1.4119180777325038,4,20.0,80,Fakhar Zaman,
Left arm Fast,148.649,1.819975909816477,4,9.25,37,Imad Wasim,
Left arm Orthodox,115.385,0.9870962335856491,1,13.0,13,Imad Wasim,
Left arm Wrist spin,129.412,1.447614670861731,1,17.0,17,Imad Wasim,
Right arm Fast,128.205,1.3824400831697468,11,10.636,117,Imad Wasim,
Right arm Legbreak,106.977,1.2030783697152208,1,43.0,43,Imad Wasim,
Right arm Offbreak,178.571,1.7619295117556786,1,14.0,14,Imad Wasim,
Left arm Fast,91.667,1.6764862244009227,0,inf,12,Sohail Tanvir,
Left arm Orthodox,40.0,0.5477225575051661,0,inf,5,Sohail Tanvir,
Right arm Fast,119.767,1.577934371570932,5,17.2,86,Sohail Tanvir,
Right arm Legbreak,25.0,0.5,1,4.0,4,Sohail Tanvir,
Right arm Offbreak,117.391,1.7748796095675048,3,7.667,23,Sohail Tanvir,
Left arm Fast,111.765,1.4515343163899894,3,11.333,34,Shadab Khan,
Left arm Orthodox,85.185,1.0990801644908381,2,13.5,27,Shadab Khan,
Left arm Wrist spin,260.0,2.4083189157584592,0,inf,5,Shadab Khan,
Right arm Fast,136.508,1.6787304026985024,15,12.6,189,Shadab Khan,
Right arm Legbreak,162.963,1.8561097102445239,2,27.0,54,Shadab Khan,
Right arm Offbreak,129.63,1.7500508743113907,1,27.0,27,Shadab Khan,
Left arm Fast,81.818,1.1677484162422844,2,5.5,11,Wahab Riaz,
Left arm Orthodox,28.571,0.4879500364742666,1,7.0,7,Wahab Riaz,
Right arm Fast,172.414,1.8991512734873508,6,9.667,58,Wahab Riaz,
Right arm Legbreak,50.0,0.7071067811865476,0,inf,2,Wahab Riaz,
Right arm Offbreak,75.0,0.8864052604279183,0,inf,8,Wahab Riaz,
Left arm Fast,188.889,1.964971020425266,1,9.0,9,Hasan Ali,
Left arm Orthodox,100.0,0.0,0,inf,3,Hasan Ali,
Right arm Fast,187.037,2.265794011322969,7,7.714,54,Hasan Ali,
Right arm Legbreak,200.0,2.70801280154532,0,inf,4,Hasan Ali,
Right arm Offbreak,0.0,0.0,1,3.0,3,Hasan Ali,
Left arm Fast,64.286,1.0818177620697815,3,4.667,14,JN Mohammed,
Left arm Orthodox,66.667,0.5773502691896258,0,inf,3,JN Mohammed,
Right arm Fast,125.0,1.4375905768565216,1,16.0,16,JN Mohammed,
Right arm Legbreak,46.667,0.5163977794943222,0,inf,15,JN Mohammed,
Right arm Offbreak,200.0,1.8708286933869707,0,inf,5,JN Mohammed,
Left arm Fast,96.226,1.4859630726802306,7,15.143,106,S Dhawan,
Left arm Orthodox,112.987,1.270626133992808,4,19.25,77,S Dhawan,
Left arm Wrist spin,130.556,1.5642331657478037,3,12.0,36,S Dhawan,
Right arm Fast,138.004,1.6783419010991434,17,30.647,521,S Dhawan,
Right arm Legbreak,92.553,1.2377517052772433,5,18.8,94,S Dhawan,
Right arm Offbreak,116.779,1.5351850164215979,5,29.8,149,S Dhawan,
Left arm Fast,145.205,1.8260544586196623,5,14.6,73,KD Karthik,
Left arm Orthodox,97.222,1.4635790009642433,3,12.0,36,KD Karthik,
Right arm Fast,131.718,1.7360862754278144,9,25.222,227,KD Karthik,
Right arm Legbreak,105.263,1.223550580642996,1,19.0,19,KD Karthik,
Right arm Offbreak,138.235,1.537702061269839,1,34.0,34,KD Karthik,
Left arm Fast,112.245,1.2012606756588486,1,49.0,49,RA Jadeja,
Left arm Orthodox,120.833,1.7189270330434439,1,24.0,24,RA Jadeja,
Left arm Wrist spin,50.0,0.5773502691896257,0,inf,4,RA Jadeja,
Right arm Fast,122.115,1.51295041295557,10,20.8,208,RA Jadeja,
Right arm Legbreak,52.0,0.5099019513592784,2,12.5,25,RA Jadeja,
Right arm Offbreak,104.0,1.0598742063723097,1,25.0,25,RA Jadeja,
Left arm Fast,44.444,1.3333333333333335,0,inf,9,KM Jadhav,
Right arm Fast,135.294,1.7299268940690902,1,17.0,17,KM Jadhav,
Right arm Legbreak,80.0,0.8366600265340756,1,5.0,5,KM Jadhav,
Left arm Fast,96.0,1.2409673645990857,2,12.5,25,R Ashwin,
Left arm Orthodox,52.941,0.5144957554275266,1,17.0,17,R Ashwin,
Left arm Wrist spin,233.333,1.5275252316519468,0,inf,3,R Ashwin,
Right arm Fast,112.676,1.4335727343627354,2,35.5,71,R Ashwin,
Right arm Legbreak,69.231,1.109400392450458,1,13.0,13,R Ashwin,
Right arm Offbreak,66.667,0.5773502691896258,0,inf,3,R Ashwin,
Left arm Fast,146.809,1.6177917224399285,5,18.8,94,AD Mathews,
Left arm Orthodox,114.423,1.4840136420929049,2,52.0,104,AD Mathews,
Left arm Wrist spin,0.0,0.0,1,3.0,3,AD Mathews,
Right arm Fast,109.538,1.3338976354659489,14,24.714,346,AD Mathews,
Right arm Legbreak,100.0,1.2894380956097264,1,84.0,84,AD Mathews,
Right arm Offbreak,131.159,1.707863841124392,5,27.6,138,AD Mathews,
Left arm Orthodox,70.0,0.6749485577105528,0,inf,10,SMA Priyanjan,
Left arm Wrist spin,73.333,1.533747356112131,0,inf,15,SMA Priyanjan,
Right arm Fast,143.75,1.547847968417226,0,inf,16,SMA Priyanjan,
Right arm Legbreak,50.0,0.7071067811865476,0,inf,2,SMA Priyanjan,
Left arm Fast,167.925,1.773453659103315,2,26.5,53,NLTC Perera,
Left arm Orthodox,114.286,1.424279266355945,0,inf,21,NLTC Perera,
Left arm Wrist spin,40.0,0.5163977794943222,2,5.0,10,NLTC Perera,
Right arm Fast,151.362,1.8330753856974364,18,14.278,257,NLTC Perera,
Right arm Legbreak,160.87,2.0920830753588393,4,11.5,46,NLTC Perera,
Right arm Offbreak,91.228,1.572994207536174,5,11.4,57,NLTC Perera,
Left arm Fast,91.667,1.2401124093721456,2,6.0,12,I Udana,
Left arm Orthodox,60.0,0.8944271909999159,0,inf,5,I Udana,
Left arm Wrist spin,70.0,1.2516655570345725,0,inf,10,I Udana,
Right arm Fast,141.758,1.7131253704263836,8,11.375,91,I Udana,
Right arm Legbreak,83.333,0.5773502691896257,1,12.0,12,I Udana,
Right arm Offbreak,163.636,2.4605985967941733,0,inf,11,I Udana,
Right arm Fast,105.556,1.2113299556429324,1,18.0,18,AK Kitchen,
Right arm Legbreak,42.857,0.5345224838248488,1,7.0,7,AK Kitchen,
Right arm Offbreak,200.0,1.7320508075688772,0,inf,3,AK Kitchen,
Left arm Wrist spin,83.333,1.6966991126265962,0,inf,12,DAJ Bracewell,
Right arm Fast,155.263,2.0625013470403806,4,9.5,38,DAJ Bracewell,
Right arm Offbreak,225.0,2.3754698783308417,0,inf,8,DAJ Bracewell,
