batter,won,innings,wickets_fallen,bowling_team,venue,first_ball
PWH de Silva,1.0,2,5,Afghanistan,Sharjah Cricket Stadium,101
PWH de Silva,0.0,2,2,Afghanistan,Rangiri Dambulla International Stadium,39
PWH de Silva,0.0,2,5,Australia,Adelaide Oval,64
PWH de Silva,0.0,1,5,Australia,"Brisbane Cricket Ground, Woolloongabba",66
PWH de Silva,0.0,2,3,Australia,Sydney Cricket Ground,63
PWH de Silva,-1.0,2,6,Australia,Sydney Cricket Ground,99
PWH de Silva,1.0,2,5,Australia,Pallekele International Cricket Stadium,84
PWH de Silva,1.0,2,3,Bangladesh,Sharjah Cricket Stadium,53
PWH de Silva,1.0,2,5,Bangladesh,Dubai International Cricket Stadium,88
PWH de Silva,0.0,2,5,England,"The Rose Bowl, Southampton",69
PWH de Silva,0.0,2,5,England,Sharjah Cricket Stadium,66
PWH de Silva,0.0,1,6,India,Holkar Cricket Stadium,103
PWH de Silva,0.0,2,6,India,Maharashtra Cricket Association Stadium,82
PWH de Silva,0.0,2,5,India,"R Premadasa Stadium, Colombo",94
PWH de Silva,1.0,2,4,India,"R Premadasa Stadium, Colombo",71
PWH de Silva,1.0,2,3,India,"R Premadasa Stadium, Colombo",72
PWH de Silva,0.0,2,5,India,"Wankhede Stadium, Mumbai",65
PWH de Silva,0.0,2,5,India,"Saurashtra Cricket Association Stadium, Rajkot",69
PWH de Silva,0.0,2,6,New Zealand,Sydney Cricket Ground,61
PWH de Silva,1.0,1,5,Pakistan,Gaddafi Stadium,111
PWH de Silva,1.0,1,6,Pakistan,Gaddafi Stadium,108
PWH de Silva,1.0,1,6,Pakistan,Gaddafi Stadium,115
PWH de Silva,1.0,2,5,Pakistan,Dubai International Cricket Stadium,99
PWH de Silva,0.0,2,4,South Africa,"R Premadasa Stadium, Colombo",91
PWH de Silva,0.0,1,4,Afghanistan,Dubai International Cricket Stadium,45
PWH de Silva,1.0,1,4,Afghanistan,Rangiri Dambulla International Stadium,45
PWH de Silva,1.0,1,3,Afghanistan,Rangiri Dambulla International Stadium,60
PWH de Silva,0.0,1,4,Australia,Dubai International Cricket Stadium,72
PWH de Silva,0.0,1,5,Australia,"R Premadasa Stadium, Colombo",85
