,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Q de Kock,MR Adair,RR Hendricks,0,1,1,1,173,0,1,0,1,wides,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
1,Q de Kock,MR Adair,RR Hendricks,0,0,0,1,173,0,2,0,2,-,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
2,Q de Kock,MR Adair,RR Hendricks,2,0,2,3,171,2,3,0,3,-,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
3,Q de Kock,MR Adair,RR Hendricks,1,0,1,4,170,3,4,0,4,-,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
4,RR Hendricks,MR Adair,Q de Kock,0,0,0,4,170,0,1,0,5,-,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
5,RR Hendricks,MR Adair,Q de Kock,1,0,1,5,169,1,2,0,6,-,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
6,Q de Kock,MR Adair,RR Hendricks,2,0,2,7,167,5,5,0,7,-,1,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
7,RR Hendricks,AR McBrine,Q de Kock,1,0,1,8,166,2,3,0,1,-,2,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
8,Q de Kock,AR McBrine,RR Hendricks,0,0,0,8,166,5,6,0,2,-,2,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
9,Q de Kock,AR McBrine,RR Hendricks,1,0,1,9,165,6,7,0,3,-,2,0,,,,bat,South Africa,1,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,South Africa,Ireland
